timestep,value,action
132,46.67621,[[-1.          0.43490326  0.        ]]
133,48.18586,[[-1.          1.          0.19299948]]
134,47.929546,[[-1.  1.  0.]]
135,47.173027,[[-1.  1.  0.]]
136,43.94796,[[-1.          0.36933398  0.        ]]
137,44.030025,[[-1.          0.34730148  0.        ]]
138,42.876484,[[-1.  1.  0.]]
139,42.084003,[[-1.          0.73638135  0.        ]]
140,37.41384,[[-1.  1.  0.]]
141,29.789875,[[-1.  0.  0.]]
142,18.723282,[[-1.  0.  0.]]
143,10.966469,[[-1.  0.  0.]]
144,8.757565,[[-0.9184454  0.         0.       ]]
145,8.005562,[[1. 1. 0.]]
146,8.689702,[[1. 0. 0.]]
147,9.537583,[[1. 1. 0.]]
148,8.911485,[[0.08478951 0.         0.        ]]
149,11.021075,[[1. 1. 0.]]
150,12.001029,[[0.29265654 1.         0.        ]]
151,14.174689,[[-0.77482206  0.8335186   0.        ]]
152,16.762894,[[1. 0. 0.]]
153,18.130453,[[0.86614454 0.39199346 0.        ]]
154,18.56157,[[0.22000474 0.         0.        ]]
155,19.615911,[[1.        0.8908855 0.       ]]
156,19.773031,[[0.9838791 0.6020023 0.       ]]
157,20.642511,[[0.95995843 0.         0.        ]]
158,22.874622,[[0.09820008 0.7325606  0.        ]]
159,24.288553,[[0.02507156 0.         0.        ]]
160,24.61802,[[-0.3563522  0.         0.       ]]
161,24.916891,[[0.6956245  0.60108334 0.        ]]
162,26.605703,[[1.        0.6910323 0.       ]]
163,28.439537,[[0.79043907 0.45274708 0.        ]]
164,30.244144,[[0.94644356 0.         0.        ]]
165,31.949295,[[1. 0. 0.]]
166,34.50418,[[1. 1. 0.]]
167,37.053295,[[1. 1. 0.]]
168,38.86059,[[1.         0.44801164 0.        ]]
169,39.522266,[[1.        0.9566723 0.       ]]
170,40.13926,[[1. 1. 0.]]
171,39.359722,[[1. 1. 0.]]
172,38.67294,[[-0.28060663  1.          0.        ]]
173,39.625904,[[-1.  1.  0.]]
174,39.281876,[[-1.  1.  0.]]
175,38.8296,[[-1.          0.26461232  0.        ]]
176,40.538803,[[-1.  1.  0.]]
177,40.87166,[[-1.  1.  0.]]
178,36.071877,[[-1.         0.3158439  0.       ]]
179,30.874615,[[-0.6935233   0.07110867  0.        ]]
180,27.443146,[[0.26228774 0.         0.        ]]
181,29.513681,[[0.02022201 0.9839423  0.        ]]
182,31.366508,[[1. 0. 0.]]
183,35.901688,[[1. 0. 0.]]
184,38.6687,[[1. 0. 0.]]
185,38.816864,[[1. 0. 0.]]
186,38.039154,[[1.         0.42728424 0.        ]]
187,38.878757,[[-0.13659191  0.          0.        ]]
188,41.90284,[[-1.         0.1994485  0.       ]]
189,39.91268,[[-1.  0.  0.]]
190,35.94677,[[-1.  0.  0.]]
191,25.503431,[[-1.  0.  0.]]
192,13.083025,[[-0.8848521  1.         0.       ]]
193,6.0616207,[[1.        0.7791306 0.       ]]
194,2.9209998,[[0.04550731 0.5067276  0.        ]]
195,2.350217,[[0.9451275 0.        0.       ]]
196,2.3311584,[[-0.18221998  1.          0.        ]]
197,1.1604291,[[1. 0. 0.]]
198,0.59629136,[[1.         0.43642572 0.        ]]
199,0.08671325,[[1. 1. 0.]]
200,0.9886405,[[0.9595245  0.30333698 0.        ]]
201,2.0999677,[[1. 0. 0.]]
202,5.350434,[[0.03494813 0.         0.        ]]
203,7.6508446,[[0.78128433 0.14569163 0.        ]]
204,10.894339,[[-0.13899149  0.          0.        ]]
205,13.669381,[[1.         0.28468952 0.        ]]
206,16.648958,[[1. 0. 0.]]
207,19.049229,[[0.28020418 1.         0.        ]]
208,20.963863,[[-0.60859716  0.          0.        ]]
209,23.631195,[[-0.9574456  0.         0.       ]]
210,24.842367,[[-0.03419578  0.          0.        ]]
211,25.99415,[[0.75262475 1.         0.        ]]
212,27.882586,[[-0.26200378  0.          0.        ]]
213,30.131338,[[1.         0.         0.20514429]]
214,30.113083,[[1.         0.10714787 0.        ]]
215,33.63131,[[1. 0. 0.]]
216,35.956642,[[1.         0.90610045 0.        ]]
217,36.775696,[[1. 1. 0.]]
218,35.781788,[[0.54927903 0.         0.        ]]
219,35.30524,[[-0.3948007  1.         0.       ]]
220,34.728935,[[-0.78352904  1.          0.        ]]
221,34.18285,[[-1.          0.32754382  0.        ]]
222,36.883255,[[-0.43005532  0.          0.        ]]
223,38.660423,[[-1.          0.02644935  0.        ]]
224,39.393604,[[0.26557732 0.         0.        ]]
225,38.14008,[[-1.  0.  0.]]
226,33.54852,[[-1.  0.  0.]]
227,30.323275,[[-1.          0.98434776  0.        ]]
228,28.826134,[[-0.78187203  0.20622785  0.        ]]
229,28.027548,[[-1.  0.  0.]]
230,27.934778,[[0.1399833 1.        0.       ]]
231,29.078,[[-0.28320953  0.          0.        ]]
232,30.46364,[[0.43567592 0.686059   0.        ]]
233,30.843023,[[1. 0. 0.]]
234,31.71787,[[0.23072785 0.         0.        ]]
235,33.84959,[[1. 0. 0.]]
236,36.614006,[[1. 0. 0.]]
237,39.520878,[[1. 0. 0.]]
238,40.532284,[[1.         0.76269746 0.        ]]
239,40.81639,[[1. 1. 0.]]
240,41.328686,[[1.       0.194224 0.      ]]
241,41.841255,[[1. 0. 0.]]
242,41.688007,[[1.        0.9761418 0.       ]]
243,41.711857,[[1.        0.3867336 0.       ]]
244,42.565895,[[1.         0.06363821 0.        ]]
245,42.914726,[[1. 1. 0.]]
246,43.506725,[[0.9319564 1.        0.       ]]
247,44.160942,[[0.5014099  0.22384977 0.        ]]
248,45.682358,[[1. 1. 0.]]
249,45.66538,[[-0.24005526  0.          0.        ]]
250,46.07078,[[0.67958784 1.         0.        ]]
251,47.0045,[[-0.6196332  1.         0.       ]]
252,46.88941,[[-1.  1.  0.]]
253,47.80881,[[-1.          0.23091269  0.        ]]
254,49.319855,[[-1.  1.  0.]]
255,50.670273,[[-1.  1.  0.]]
256,51.664272,[[-1.  1.  0.]]
257,52.388992,[[-1.  1.  0.]]
258,53.62911,[[-1.          0.94330704  0.        ]]
259,53.1111,[[-1.          0.10643709  0.        ]]
260,52.686222,[[-1.  1.  0.]]
261,52.4083,[[-0.50425893  0.4821428   0.        ]]
262,52.507515,[[1.        0.8324013 0.       ]]
263,52.571888,[[1.         0.39039296 0.        ]]
264,53.30115,[[0.17784637 0.7913937  0.        ]]
265,53.949104,[[0.35944247 0.         0.        ]]
266,54.53838,[[-0.64520967  1.          0.        ]]
267,53.89523,[[0.77558255 1.         0.        ]]
268,55.039345,[[-0.02118182  1.          0.        ]]
269,54.59446,[[0.64288783 1.         0.        ]]
270,55.03165,[[0.98301494 0.4544536  0.        ]]
271,54.66945,[[1.         1.         0.07232869]]
272,53.392696,[[-1.          0.33752513  0.        ]]
273,53.48196,[[0.54611516 1.         0.        ]]
274,53.46286,[[-0.2782502  0.         0.       ]]
275,53.76533,[[0.39341545 1.         0.        ]]
276,53.264877,[[1.         0.23683393 0.        ]]
