timestep,value,action
579,5.506765,[[0.4553831  0.18126293 0.        ]]
580,6.2819076,[[-0.24588013  0.          0.        ]]
581,8.268434,[[-0.466851  0.        0.      ]]
582,8.974321,[[0.9367548 0.        0.       ]]
583,9.362061,[[-0.20433512  0.          0.        ]]
584,10.535638,[[0.10846947 0.         0.        ]]
585,10.33112,[[-0.5980664  0.         0.       ]]
586,10.665001,[[1. 0. 0.]]
587,10.134427,[[1. 0. 0.]]
588,11.088649,[[-1.          0.54428923  0.        ]]
589,11.428535,[[-1.          0.02190378  0.        ]]
590,12.262842,[[-0.1830701  0.         0.       ]]
591,11.341578,[[1.        0.8823277 0.       ]]
592,11.457288,[[-0.10164723  1.          0.        ]]
593,12.036089,[[-1.  0.  0.]]
594,11.132656,[[1.         0.27392995 0.        ]]
595,10.698161,[[1. 1. 0.]]
596,10.660982,[[1. 1. 0.]]
597,10.985413,[[1.         0.18173909 0.        ]]
598,11.601963,[[0.15583333 1.         0.        ]]
599,12.183012,[[0.3379689 1.        0.       ]]
600,12.326136,[[1.         0.10828078 0.        ]]
601,13.860915,[[-0.26267627  1.          0.        ]]
602,14.065522,[[0.74614036 1.         0.        ]]
603,15.124629,[[-0.52121997  0.          0.        ]]
604,15.039238,[[0.7579848 1.        0.       ]]
605,15.6065,[[0.6667049 1.        0.       ]]
606,16.797104,[[-1.          0.92565334  0.        ]]
607,17.894327,[[0.1007029  0.26063913 0.        ]]
608,18.52517,[[0.71422434 0.9522616  0.        ]]
609,19.565208,[[-0.7159003   0.40596613  0.        ]]
610,21.406609,[[0.00479163 0.         0.        ]]
611,22.047276,[[-1.  1.  0.]]
612,22.491669,[[1. 0. 0.]]
613,22.857046,[[0.7594692 0.        0.       ]]
614,23.62663,[[1.         0.64426327 0.        ]]
615,24.148048,[[1.        0.7939825 0.       ]]
616,24.1231,[[-0.4183115   0.02884156  0.        ]]
617,24.286993,[[1. 1. 0.]]
618,24.031876,[[0.16275457 1.         0.        ]]
619,23.644526,[[0.6271529 0.        0.       ]]
620,23.381004,[[-0.6083785  0.         0.       ]]
621,22.443708,[[0.0714817 0.        0.       ]]
622,21.262882,[[1. 1. 0.]]
623,22.344532,[[0.7224468 0.        0.       ]]
624,21.87567,[[1.        0.3136787 0.       ]]
625,20.812433,[[1. 0. 0.]]
626,20.822968,[[1. 0. 0.]]
627,21.127508,[[1.         0.         0.29718828]]
628,22.141014,[[1. 0. 0.]]
629,22.580269,[[1.         0.05688399 0.        ]]
630,23.425772,[[1. 0. 0.]]
631,23.268143,[[1. 0. 0.]]
632,23.92258,[[1. 0. 0.]]
633,24.503948,[[1. 0. 0.]]
634,24.484715,[[0.75429523 0.46235508 0.        ]]
635,25.195002,[[1. 0. 0.]]
636,24.876343,[[1.         0.24188143 0.        ]]
637,24.721907,[[-0.41070163  0.          0.        ]]
638,25.132341,[[-1.          0.50645995  0.        ]]
639,25.573832,[[-1.  0.  0.]]
640,25.610407,[[0.32037672 0.         0.        ]]
641,27.219366,[[0.09283926 0.         0.        ]]
642,26.806135,[[-0.06643523  0.          0.        ]]
643,27.208124,[[0.2691544 1.        0.       ]]
644,27.658367,[[-0.53209996  0.          0.        ]]
645,26.131006,[[0.20636636 0.         0.        ]]
646,25.860407,[[0.10884374 0.         0.        ]]
647,25.9886,[[-0.26934245  0.02865283  0.        ]]
648,26.618372,[[-1.          0.13995463  0.        ]]
649,27.41815,[[-1.  0.  0.]]
650,28.771154,[[-0.53182966  0.25148016  0.        ]]
651,29.699203,[[-0.86819243  0.          0.        ]]
652,29.974213,[[-0.64764524  0.          0.        ]]
653,31.706657,[[-1.          0.97107387  0.        ]]
654,33.335445,[[-1.          0.36297238  0.        ]]
655,34.629158,[[-1.          0.31143582  0.        ]]
656,35.102093,[[-1.  0.  0.]]
657,36.17552,[[-1.  0.  0.]]
658,36.19964,[[-1.  0.  0.]]
659,37.729202,[[-0.08026338  1.          0.        ]]
660,38.166386,[[-1.  0.  0.]]
661,39.01565,[[-1.  0.  0.]]
662,39.92997,[[-1.  0.  0.]]
663,39.76078,[[-1.  0.  0.]]
664,40.71494,[[-1.  0.  0.]]
665,40.93901,[[-1.  0.  0.]]
666,41.172886,[[-1.          0.04064798  0.        ]]
667,42.190727,[[-1.  1.  0.]]
668,43.39434,[[-1.          0.17390764  0.        ]]
669,44.891003,[[-1.  1.  0.]]
670,46.78787,[[-1.         0.7619832  0.       ]]
671,47.22887,[[-1.          0.03583074  0.        ]]
672,47.592194,[[-1.         0.9620865  0.       ]]
673,48.307987,[[-1.  1.  0.]]
674,47.45367,[[-1.  1.  0.]]
675,46.564705,[[1. 1. 0.]]
676,46.74074,[[1. 1. 0.]]
677,47.426136,[[1. 1. 0.]]
678,48.937305,[[1. 1. 0.]]
679,49.394768,[[0.8052707 0.8903793 0.       ]]
680,50.09342,[[-0.07908392  1.          0.        ]]
681,50.330547,[[1. 1. 0.]]
682,50.21377,[[1. 0. 0.]]
683,50.043713,[[1. 1. 0.]]
684,49.174065,[[1. 1. 0.]]
685,50.411385,[[1. 1. 0.]]
686,49.921818,[[1. 0. 0.]]
687,50.079464,[[1.         0.02993786 0.        ]]
688,49.420475,[[0.24580812 1.         0.        ]]
689,48.532314,[[1. 1. 0.]]
690,48.559795,[[1. 1. 0.]]
691,48.344574,[[-1.  1.  0.]]
692,47.603664,[[-1.  1.  0.]]
693,48.07161,[[-0.03363037  1.          0.        ]]
694,48.449207,[[-1.          0.17015982  0.        ]]
695,47.51169,[[-0.8518182  1.         0.       ]]
696,48.722034,[[-1.          0.36269224  0.        ]]
697,49.06433,[[-1.  1.  0.]]
698,50.859123,[[-1.  1.  0.]]
699,50.928875,[[-1.  1.  0.]]
700,50.82308,[[-1.  1.  0.]]
701,51.535706,[[-1.  1.  0.]]
702,53.85622,[[-1.  1.  0.]]
703,53.877125,[[-1.  1.  0.]]
704,53.251003,[[-1.  1.  0.]]
705,52.56385,[[-1.  1.  0.]]
706,51.668667,[[-0.03982043  0.08975911  0.        ]]
707,52.056957,[[0.9092971 0.        0.       ]]
708,52.28776,[[-1.  0.  0.]]
709,51.847633,[[1.         0.74816555 0.        ]]
710,51.595898,[[1. 1. 0.]]
711,51.021152,[[1. 1. 0.]]
712,50.648663,[[1. 0. 0.]]
713,51.030342,[[1. 1. 0.]]
714,51.15775,[[1.        0.5548655 0.       ]]
715,51.78438,[[1.         0.54075146 0.        ]]
716,51.109035,[[1. 0. 0.]]
717,51.502277,[[1.         0.02066702 0.        ]]
718,51.929176,[[1.        0.9468213 0.       ]]
719,52.18635,[[1. 0. 0.]]
720,53.26802,[[1. 1. 0.]]
721,53.596073,[[1.       0.934317 0.      ]]
722,53.83834,[[1. 1. 0.]]
723,53.562515,[[1. 1. 0.]]
724,53.225384,[[1. 1. 0.]]
725,52.444965,[[1. 1. 0.]]
726,51.02858,[[-0.9305461  1.         0.       ]]
727,51.3785,[[-1.  1.  0.]]
728,51.317196,[[-0.38613534  0.7943086   0.        ]]
729,51.408916,[[-1.          0.99473536  0.        ]]
730,51.86123,[[-1.         0.6029712  0.       ]]
731,53.058327,[[-0.7318685  1.         0.       ]]
732,51.9565,[[-1.         0.5461723  0.       ]]
733,52.376072,[[-1.         0.6677999  0.       ]]
734,52.612335,[[-1.          0.00403714  0.        ]]
735,53.007748,[[-1.  1.  0.]]
736,53.332977,[[-1.         0.6580905  0.       ]]
737,53.63781,[[-1.  1.  0.]]
738,54.002525,[[-1.          0.50584984  0.        ]]
739,53.49584,[[-1.  1.  0.]]
740,53.967648,[[-1.  0.  0.]]
741,54.21481,[[-1.  0.  0.]]
742,53.985817,[[-1.  1.  0.]]
743,53.956863,[[-1.  1.  0.]]
744,54.237072,[[0.06266385 1.         0.        ]]
745,52.30296,[[-0.3558829  0.9694372  0.       ]]
746,52.543583,[[-0.39238986  0.98174965  0.        ]]
747,52.061237,[[1.        0.7235383 0.       ]]
748,51.942043,[[1.         0.05584753 0.        ]]
749,51.29368,[[1. 1. 0.]]
750,51.00072,[[1. 1. 0.]]
751,50.690517,[[1.         0.44667464 0.        ]]
752,51.0873,[[1.         0.21511734 0.00633037]]
753,52.69383,[[1. 0. 0.]]
754,52.746387,[[1.         0.00713301 0.        ]]
755,51.5885,[[1. 0. 0.]]
756,53.44868,[[1. 1. 0.]]
757,54.181087,[[1. 1. 0.]]
758,54.43011,[[1. 1. 0.]]
759,54.749737,[[1. 1. 0.]]
760,54.681355,[[1. 1. 0.]]
761,54.53457,[[1. 1. 0.]]
762,54.31457,[[1. 1. 0.]]
763,54.377216,[[1. 1. 0.]]
764,55.53203,[[1. 1. 0.]]
765,56.424755,[[1.         0.45319664 0.        ]]
766,54.681942,[[1. 1. 0.]]
767,53.91396,[[-0.25823316  0.5604843   0.        ]]
768,53.566936,[[-1.  1.  0.]]
769,53.72143,[[-0.6590485  1.         0.       ]]
770,53.532635,[[-1.          0.75907445  0.        ]]
771,53.78848,[[-1.  1.  0.]]
772,53.722824,[[-1.  0.  0.]]
773,52.771877,[[-1.  1.  0.]]
774,52.715374,[[-1.  1.  0.]]
775,53.154186,[[-1.         0.5017454  0.       ]]
776,52.98877,[[-1.  1.  0.]]
777,53.36524,[[-1.  0.  0.]]
778,54.08274,[[-1.  0.  0.]]
779,54.928707,[[-1.  1.  0.]]
780,55.287094,[[-1.  1.  0.]]
781,54.58444,[[-1.         0.3879196  0.       ]]
782,54.448395,[[-1.  1.  0.]]
783,54.33964,[[-1.  1.  0.]]
784,55.012905,[[-1.         0.7068055  0.       ]]
785,54.412556,[[-1.  1.  0.]]
786,54.726753,[[-0.55558825  0.          0.        ]]
787,54.245266,[[-1.         0.6174536  0.       ]]
788,53.260723,[[-0.77686006  0.          0.        ]]
789,53.581455,[[0.6793016 1.        0.       ]]
790,54.205906,[[0.9139435 1.        0.       ]]
791,53.69298,[[1.         0.62812006 0.        ]]
792,53.376675,[[1.        0.0899874 0.       ]]
793,53.6037,[[1. 1. 0.]]
794,53.13836,[[1. 1. 0.]]
795,54.109173,[[1. 0. 0.]]
796,54.886395,[[1.        0.6647146 0.       ]]
797,53.624973,[[1. 0. 0.]]
798,53.148354,[[1.         0.83892536 0.        ]]
799,53.51595,[[1. 1. 0.]]
800,53.124943,[[1.        1.        0.2612015]]
801,53.40297,[[1.         0.94267833 0.        ]]
802,52.22966,[[1. 1. 0.]]
803,52.117325,[[1. 1. 0.]]
804,52.74116,[[1. 1. 0.]]
805,51.787254,[[1. 0. 0.]]
806,50.751144,[[1. 0. 0.]]
807,48.601883,[[1. 1. 0.]]
808,47.198273,[[0.8483832 0.804578  0.       ]]
809,45.815697,[[0.5174442 1.        0.       ]]
810,44.454437,[[0.75331664 0.25704455 0.        ]]
811,43.830437,[[0.95652497 1.         0.        ]]
812,43.838528,[[1. 1. 0.]]
813,42.376034,[[-1.         0.7591676  0.       ]]
814,41.589096,[[-1.        0.655795  0.      ]]
815,42.881783,[[0.60583687 1.         0.        ]]
816,40.441013,[[-1.  1.  0.]]
817,41.214565,[[-1.  0.  0.]]
818,40.767666,[[-1.         0.3242042  0.       ]]
819,38.70652,[[-0.43497884  0.          0.        ]]
820,38.558308,[[-1.         0.9347931  0.       ]]
821,37.284615,[[-0.8715382  1.         0.       ]]
822,37.393047,[[-0.9090147   0.02903616  0.        ]]
823,36.267326,[[-0.12221855  0.          0.        ]]
824,36.945164,[[-1.  0.  0.]]
825,36.58012,[[1. 1. 0.]]
826,35.0516,[[-0.17857072  0.          0.16177034]]
827,33.874763,[[0.6361507 0.        0.       ]]
828,32.369774,[[1. 0. 0.]]
829,33.92639,[[0.80337113 0.         0.        ]]
830,35.041107,[[0.35663927 0.         0.24257767]]
831,36.319588,[[1. 0. 0.]]
832,39.186916,[[1. 1. 0.]]
833,38.215847,[[1. 1. 0.]]
834,41.223415,[[1. 1. 0.]]
835,41.70792,[[1.         0.9610125  0.31238985]]
836,43.58956,[[1. 1. 0.]]
837,45.28674,[[1.         0.73046297 0.        ]]
838,46.686512,[[1. 1. 0.]]
839,48.460407,[[1.        0.7816142 0.       ]]
840,49.76453,[[0.44826508 0.         0.        ]]
841,50.560715,[[1. 1. 0.]]
842,51.47834,[[-1.         0.9859346  0.       ]]
843,51.512997,[[-1.  1.  0.]]
844,50.88496,[[1. 1. 0.]]
845,50.6656,[[-0.41498828  0.84351516  0.        ]]
846,51.142735,[[-0.7917785  0.         0.       ]]
847,52.1822,[[-1.         0.9506709  0.       ]]
848,52.11198,[[-1.  0.  0.]]
849,51.653904,[[-0.681183    0.11634415  0.        ]]
850,51.63483,[[-1.          0.11660737  0.        ]]
851,51.945824,[[-1.  1.  0.]]
852,51.69778,[[-1.          0.00911924  0.        ]]
853,51.156017,[[-1.         0.0221163  0.       ]]
854,51.173607,[[-1.  1.  0.]]
855,51.15266,[[-1.          0.56328845  0.        ]]
856,50.84257,[[-1.  0.  0.]]
857,50.967976,[[-1.         0.9519371  0.       ]]
858,51.167507,[[-1.  0.  0.]]
859,50.85526,[[-1.  1.  0.]]
860,50.657852,[[-0.6108848  0.         0.       ]]
861,49.857624,[[-1.          0.16900182  0.        ]]
862,48.48626,[[0.5957464  0.33140743 0.        ]]
863,47.623226,[[-0.39430866  0.98400426  0.        ]]
864,47.961964,[[1. 1. 0.]]
865,48.576366,[[0.9353912  0.69420743 0.        ]]
866,48.59247,[[1. 1. 0.]]
867,49.3317,[[1. 1. 0.]]
868,49.14063,[[1.        0.8792661 0.       ]]
869,48.85972,[[1. 0. 0.]]
870,49.385468,[[1. 1. 0.]]
871,50.09959,[[1.         0.04525435 0.        ]]
872,49.323486,[[1.         0.60083264 0.        ]]
873,49.74791,[[1. 0. 0.]]
874,50.89168,[[1.       0.299029 0.      ]]
875,51.238552,[[1. 0. 0.]]
876,52.111866,[[1. 1. 0.]]
877,52.79018,[[1. 0. 0.]]
878,53.485348,[[1.        0.7023971 0.       ]]
879,54.698803,[[0.7374481 1.        0.       ]]
880,54.51586,[[1.         0.01992822 0.        ]]
881,54.13591,[[1. 0. 0.]]
882,53.144268,[[1. 1. 0.]]
883,53.539764,[[1. 1. 0.]]
884,54.103283,[[1. 0. 0.]]
885,54.15254,[[1. 1. 0.]]
886,53.8913,[[1.        0.3569765 0.       ]]
887,52.722813,[[-0.66968733  1.          0.        ]]
888,52.63091,[[-1.  1.  0.]]
889,52.708145,[[-0.7852417  1.         0.       ]]
890,52.021824,[[-1.  1.  0.]]
891,51.715427,[[-1.          0.84307754  0.        ]]
892,51.24294,[[-1.  1.  0.]]
893,51.334038,[[-1.  1.  0.]]
894,52.48058,[[-1.  1.  0.]]
895,53.096485,[[-1.  1.  0.]]
896,52.4016,[[-1.  1.  0.]]
897,53.08078,[[-1.          0.26244137  0.        ]]
898,52.5183,[[-1.  0.  0.]]
899,51.896145,[[-1.  0.  0.]]
900,50.93783,[[-1.  1.  0.]]
901,49.134514,[[-1.          0.07855228  0.        ]]
902,46.096264,[[-1.      0.6255  0.    ]]
903,43.934868,[[-0.72511405  0.04025632  0.        ]]
904,39.05694,[[-1.  1.  0.]]
905,37.373093,[[1.         0.02652735 0.        ]]
906,36.338116,[[-1.  1.  0.]]
907,36.51383,[[1. 0. 0.]]
908,39.7567,[[1. 0. 0.]]
909,41.9196,[[0.8808249 0.        0.       ]]
910,41.240704,[[1. 0. 0.]]
911,41.42485,[[1. 0. 0.]]
912,42.203674,[[1. 0. 0.]]
913,41.285824,[[1. 0. 0.]]
914,41.308933,[[1.         0.10373867 0.        ]]
915,39.639797,[[1. 0. 0.]]
916,37.68116,[[-0.43039918  1.          0.        ]]
917,37.3411,[[1. 0. 0.]]
918,34.248714,[[0.73494035 0.         0.        ]]
919,32.654293,[[0.92934316 0.18730333 0.        ]]
920,30.636576,[[1. 1. 0.]]
921,29.8286,[[0.39377892 0.43741113 0.        ]]
922,27.777971,[[0.99682933 0.         0.        ]]
923,27.055653,[[0.76302767 0.98451525 0.        ]]
924,24.862453,[[0.8515059  0.         0.03556323]]
925,23.121632,[[0.5607021  0.         0.09263492]]
926,21.535204,[[-0.05240595  1.          0.        ]]
927,20.376532,[[1.         0.73355037 0.        ]]
928,19.407139,[[1.         0.11922744 0.        ]]
929,18.385511,[[0.9735176 0.0034343 0.       ]]
930,17.308733,[[-1.          0.22943951  0.        ]]
931,16.6245,[[0.79231924 0.4035443  0.        ]]
932,16.120485,[[-0.0542888  0.         0.       ]]
933,15.630659,[[1. 0. 0.]]
934,15.006084,[[-0.7638011  1.         0.       ]]
935,14.572421,[[0.42409533 0.5993433  0.        ]]
936,15.095345,[[0.24346021 0.         0.        ]]
937,15.648228,[[0.35026214 0.78022003 0.        ]]
938,16.316597,[[-0.07888299  0.17649686  0.        ]]
939,16.427204,[[-0.31098732  1.          0.        ]]
940,16.20495,[[0.06154774 0.         0.        ]]
941,16.539215,[[0.15336706 0.         0.        ]]
942,16.940268,[[1.         0.54733396 0.        ]]
943,17.01357,[[-1.         0.5222844  0.       ]]
944,17.698225,[[-0.5057291  0.         0.       ]]
945,17.557728,[[-0.9798562  0.         0.       ]]
946,17.671476,[[-0.09131439  0.1285651   0.        ]]
947,17.896303,[[-0.8874054  0.6456223  0.       ]]
948,17.890371,[[-1.          0.25387365  0.        ]]
949,18.518267,[[-0.3826728  1.         0.       ]]
950,18.5642,[[-1.          0.04260607  0.        ]]
951,18.039713,[[0.48746896 0.6252852  0.        ]]
952,17.621412,[[-0.5271796   0.64762574  0.        ]]
953,17.561901,[[1. 0. 0.]]
954,17.781471,[[-0.91939396  0.          0.        ]]
955,17.982943,[[-0.9972911  0.         0.       ]]
956,16.653269,[[0.9151518 0.3212384 0.       ]]
957,15.328438,[[0.54675555 0.55995625 0.        ]]
958,12.462654,[[0.15083733 0.63715947 0.        ]]
959,10.076735,[[1.         0.08247392 0.        ]]
960,7.7875867,[[0.8577082 0.        0.       ]]
961,6.8538156,[[-0.2903755   0.46948954  0.        ]]
962,5.270058,[[0.21152547 0.         0.        ]]
963,3.8364286,[[0.14400437 0.391784   0.        ]]
964,3.5410867,[[1. 0. 0.]]
965,2.4706242,[[-0.20190585  0.          0.        ]]
966,2.4252167,[[0.42616352 1.         0.        ]]
967,1.9151453,[[0.14050782 0.         0.        ]]
968,1.7991555,[[1.        0.5532568 0.       ]]
969,0.89306957,[[0.13750282 0.7164511  0.        ]]
970,1.8613945,[[-0.39478242  0.          0.        ]]
971,1.8593695,[[1. 0. 0.]]
972,2.374143,[[1. 0. 0.]]
973,1.6813517,[[1. 0. 0.]]
974,1.711254,[[0.9751584 0.        0.       ]]
975,2.0940008,[[0.5753306  0.13005939 0.        ]]
976,2.4791923,[[-0.04739642  1.          0.        ]]
977,2.53999,[[1.        0.9120617 0.       ]]
978,2.2553756,[[0.62573826 0.3018989  0.        ]]
979,2.7745738,[[0.84544754 0.545846   0.        ]]
980,3.1260312,[[0.02261361 1.         0.        ]]
981,3.3744454,[[1. 0. 0.]]
982,3.5721517,[[1. 0. 0.]]
983,3.7122114,[[-0.35405642  1.          0.        ]]
984,3.5034115,[[1.        0.8743059 0.       ]]
985,3.7757678,[[0.21533573 0.         0.        ]]
986,3.996885,[[-1.          0.37507677  0.        ]]
987,4.3480334,[[-0.4830351  0.         0.       ]]
988,5.043153,[[-0.19944662  0.          0.        ]]
989,6.6852083,[[0.66780245 0.9659665  0.        ]]
990,8.5437155,[[1.         1.         0.46756518]]
991,10.108246,[[1.         0.66415066 0.        ]]
992,11.793584,[[0.8923514 0.        0.       ]]
993,13.262612,[[1. 0. 0.]]
994,14.79789,[[0.25685716 0.         0.        ]]
995,15.98143,[[0.0501613 0.        0.       ]]
996,17.105116,[[1.         0.52495956 0.        ]]
997,18.452572,[[-0.91106474  0.          0.        ]]
998,18.821478,[[0.299564   0.03320885 0.        ]]
999,18.483051,[[1. 0. 0.]]
